"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-05 16:00","2023","09","05","16:00","21.8","","6.8","","38","","0.0","","16","","22","","","","88.64","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-05 17:00","2023","09","05","17:00","15.0","","7.7","","61","","0.0","","36","","34","","","","88.68","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-05 18:00","2023","09","05","18:00","14.8","","8.3","","65","","0.0","","34","","22","","","","88.74","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-05 19:00","2023","09","05","19:00","14.2","","7.9","","66","","0.0","","34","","16","","","","88.80","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-05 20:00","2023","09","05","20:00","13.6","","9.1","","74","","0.0","","35","","29","","","","88.90","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-05 21:00","2023","09","05","21:00","11.3","","7.2","","76","","0.0","","35","","22","","","","88.97","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-05 22:00","2023","09","05","22:00","10.2","","6.4","","77","","0.0","","35","","19","","","","89.04","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-05 23:00","2023","09","05","23:00","9.4","","7.3","","87","","0.2","","35","","15","","","","89.05","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 00:00","2023","09","06","00:00","8.7","","7.0","","89","","0.2","","34","","5","","","","89.11","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 01:00","2023","09","06","01:00","8.6","","7.1","","91","","0.0","","32","","5","","","","89.09","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 02:00","2023","09","06","02:00","8.6","","6.6","","87","","0.0","","32","","10","","","","89.09","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 03:00","2023","09","06","03:00","8.3","","6.2","","87","","0.0","","32","","9","","","","89.08","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 04:00","2023","09","06","04:00","8.5","","5.8","","83","","0.0","","29","","3","","","","89.08","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 05:00","2023","09","06","05:00","8.5","","6.0","","84","","0.0","","32","","2","","","","89.08","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 06:00","2023","09","06","06:00","8.3","","6.5","","88","","0.0","","22","","6","","","","89.09","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 07:00","2023","09","06","07:00","8.6","","6.6","","87","","0.0","","21","","6","","","","89.07","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 08:00","2023","09","06","08:00","9.6","","6.6","","82","","0.0","","24","","7","","","","89.08","","","","","","NA"
